sid,title,authors,year,journal,tier,pyramid,category,model,peer_reviewed,doi,pmid,pmcid,finding,abstract,ai_intervention,ai_target,ai_species,ai_effect,ai_dose,ai_samplesize,ai_effectsize,ai_limitations,atlas_url
UMX2004,Absence of S6K1 protects against age- and diet-induced obesity while enhancing insulin sensitivity,Um SH; Thomas G et al.,2004,Nature,C - Animal,4 - Animal Study,Animal,Mouse (S6K1 KO),Yes,10.1038/nature02866,15306821,,"S6K1 deletion protects mice from age- and diet-induced obesity and enhances insulin sensitivity.
","Elucidating the signalling mechanisms by which obesity leads to impaired insulin action is critical in the development of therapeutic strategies for the treatment of diabetes. Recently, mice deficient for S6 Kinase 1 (S6K1), an effector of the mammalian target of rapamycin (mTOR) that acts to integrate nutrient and insulin signals, were shown to be hypoinsulinaemic, glucose intolerant and have reduced beta-cell mass. However, S6K1-deficient mice maintain normal glucose levels during fasting, suggesting hypersensitivity to insulin, raising the question of their metabolic fate as a function of age and diet. Here, we report that S6K1-deficient mice are protected against obesity owing to enhanced beta-oxidation. However on a high fat diet, levels of glucose and free fatty acids still rise in S6K1-deficient mice, resulting in insulin receptor desensitization. Nevertheless, S6K1-deficient mice remain sensitive to insulin owing to the apparent loss of a negative feedback loop from S6K1 to insulin receptor substrate 1 (IRS1), which blunts S307 and S636/S639 phosphorylation; sites involved in insulin resistance. Moreover, wild-type mice on a high fat diet as well as K/K A(y) and ob/ob mice-two genetic models of obesity-have markedly elevated S6K1 activity and, unlike S6K1-deficient mice, increased phosphorylation of IRS1 S307 and S636/S639. Thus under conditions of nutrient satiation S6K1 negatively regulates insulin signalling.",Genetic – S6K1 knockout,S6K1 (downstream of mTORC1),Mouse (S6K1 KO),S6K1 loss protects against age- and diet-induced obesity and enhances insulin sensitivity,,,,,https://mtor-atlas.org/study/UMX2004/
SAR2006,Prolonged rapamycin treatment inhibits mTORC2 assembly and Akt/PKB,Sarbassov DD; Ali SM; Sengupta S; Sheen JH; Hsu PP; Bagley AF; Markhard AL; Sabatini DM,2006,Molecular Cell,D - Mechanistic/Review,5 - Mechanistic / In Vitro,Mechanism,Multiple human/mouse cell lines,Yes,10.1016/j.molcel.2006.03.029,16603397,,"The molecular explanation for rapamycin's dark side. Short-term rapamycin only hits mTORC1, but LONG-term treatment also strips down mTORC2 in many cells, cutting Akt signaling. This is the mechanistic root of the insulin-resistance side effect later shown in mice (see Lamming 2012) - crucial for anyone dosing rapamycin for longevity.
","The drug rapamycin has important uses in oncology, cardiology, and transplantation medicine, but its clinically relevant molecular effects are not understood. When bound to FKBP12, rapamycin interacts with and inhibits the kinase activity of a multiprotein complex composed of mTOR, mLST8, and raptor (mTORC1). The distinct complex of mTOR, mLST8, and rictor (mTORC2) does not interact with FKBP12-rapamycin and is not thought to be rapamycin sensitive. mTORC2 phosphorylates and activates Akt/PKB, a key regulator of cell survival. Here we show that rapamycin inhibits the assembly of mTORC2 and that, in many cell types, prolonged rapamycin treatment reduces the levels of mTORC2 below those needed to maintain Akt/PKB signaling. The proapoptotic and antitumor effects of rapamycin are suppressed in cells expressing an Akt/PKB mutant that is rapamycin resistant. Our work describes an unforeseen mechanism of action for rapamycin that suggests it can be used to inhibit Akt/PKB in certain cell types.",Rapamycin (prolonged treatment),mTORC2 / Akt,Multiple human/mouse cell lines,Prolonged rapamycin inhibits mTORC2 assembly and Akt/PKB in some cells – mTORC2 is not always rapamycin-insensitive,,,,,https://mtor-atlas.org/study/SAR2006/
EVA2026,"PTEN regulates microtubule polymerization via mTORC2, but not mTORC1, in peripheral sensory neurons",Evans S; Reglewski J; Rose H; Lewis C; Nayak A; Minsky C; McNeil E; Knowles B; Wang W; Li M; Luikart BW; Hong J,2026,eNeuro,D - Mechanistic/Review,5 - Mechanistic / In Vitro,Mechanism,"Mouse peripheral sensory neuron cultures (Pten-KO with Raptor or Rictor co-deletion, both sexes)",Yes,10.1523/ENEURO.0116-26.2026,42642329,,"Uses Raptor (mTORC1) versus Rictor (mTORC2) co-deletion on a Pten-knockout background to ask which complex carries the growth signal to the microtubule cytoskeleton. Suppressing mTORC2 — but not mTORC1 — returns the accelerated microtubule polymerisation and neuronal hypertrophy of Pten-KO neurons to wild-type levels, and the effect is confined to the axonal growth cone rather than the proximal axon shaft. A clean genetic dissection on the comparatively thin mTORC2 side of the pathway.
","Peripheral neuropathy affects over 18 million adults in the U.S., but therapeutic outcomes are poor due to a lack of regenerative treatments. Pten is a strong negative regulator of cell growth, and Pten-KO drives axonal regeneration in various neuronal subtypes potentially via downstream regulation of stability of the microtubule (MT) cytoskeleton, a vital component of axonal growth. While Pten-KO accelerates MT polymerization rates in the axonal growth cone, it remains unknown whether this action is dependent on mTORC1 or mTORC2 signaling, and whether regeneration under Pten-KO is dependent on MT activation. Here, we perform co-deletions of either Raptor (mTORC1) or Rictor (mTORC2) alongside Pten-KO in mouse peripheral sensory neuron cultures of either sex to isolate the effects of each pathway on the MT cytoskeleton. We use Pten-KO to increase MT polymerization and neuronal outgrowth, and then show that suppression of mTORC2, but not mTORC1, is sufficient to reduce the accelerated MT polymerization and neuronal hypertrophy to wild-type levels. These results are specific to the axonal growth cone, and MT dynamics in the proximal axon shaft are not impacted by Pten-KO, mTORC1 suppression, or mTORC2 suppression.",Genetic: Pten knockout with Raptor (mTORC1) or Rictor (mTORC2) co-deletion,mTORC2 (RICTOR); microtubule cytoskeleton; PTEN,Mouse (peripheral sensory neuron cultures),"mTORC2, not mTORC1, mediates PTEN-dependent microtubule polymerization and neuronal hypertrophy at the growth cone",,,,,https://mtor-atlas.org/study/EVA2026/
GUR2016,mTOR Signaling Confers Resistance to Targeted Cancer Drugs,Guri Y; Hall MN et al.,2016,Trends in cancer,D - Mechanistic/Review,Narrative Review,Review,Review,Yes,10.1016/j.trecan.2016.10.006,28741507,,"Review of how mTOR signalling confers resistance to targeted cancer therapies.
","Cancer is a complex disease and a leading cause of death worldwide. Extensive research over decades has led to the development of therapies that target cancer-specific signaling pathways. However, the clinical benefits of such drugs are at best transient due to tumors displaying intrinsic or adaptive resistance. The underlying compensatory pathways that allow cancer cells to circumvent a drug blockade are poorly understood. We review here recent studies suggesting that mammalian TOR (mTOR) signaling is a major compensatory pathway conferring resistance to many cancer drugs. mTOR-mediated resistance can be cell-autonomous or non-cell-autonomous. These findings suggest that mTOR signaling should be monitored routinely in tumors and that an mTOR inhibitor should be considered as a co-therapy.",Not applicable (review),mTOR,Review,mTOR signaling is a major compensatory pathway conferring resistance to targeted cancer drugs,,,,,https://mtor-atlas.org/study/GUR2016/
MOR2013,mTORC1 controls mitochondrial activity and biogenesis through 4E-BP-dependent translational regulation,Morita M; Sonenberg N et al.,2013,Cell metabolism,D - Mechanistic/Review,5 - Mechanistic / In Vitro,Mechanism,Mammalian cells,Yes,10.1016/j.cmet.2013.10.001,24206664,,"mTORC1 controls mitochondrial biogenesis and activity through 4E-BP-dependent translation.
","mRNA translation is thought to be the most energy-consuming process in the cell. Translation and energy metabolism are dysregulated in a variety of diseases including cancer, diabetes, and heart disease. However, the mechanisms that coordinate translation and energy metabolism in mammals remain largely unknown. The mechanistic/mammalian target of rapamycin complex 1 (mTORC1) stimulates mRNA translation and other anabolic processes. We demonstrate that mTORC1 controls mitochondrial activity and biogenesis by selectively promoting translation of nucleus-encoded mitochondria-related mRNAs via inhibition of the eukaryotic translation initiation factor 4E (eIF4E)-binding proteins (4E-BPs). Stimulating the translation of nucleus-encoded mitochondria-related mRNAs engenders an increase in ATP production capacity, a required energy source for translation. These findings establish a feed-forward loop that links mRNA translation to oxidative phosphorylation, thereby providing a key mechanism linking aberrant mTOR signaling to conditions of abnormal cellular energy metabolism such as neoplasia and insulin resistance.",Genetic/pharmacologic (mTORC1 / 4E-BP),mTORC1 / 4E-BP,Mammalian cells,mTORC1 controls mitochondrial activity and biogenesis through 4E-BP-dependent translation,,,,,https://mtor-atlas.org/study/MOR2013/
FEL2009,Active-site inhibitors of mTOR target rapamycin-resistant outputs of mTORC1 and mTORC2,Feldman ME; Apsel B; Uotila A; Loewith R; Knight ZA; Ruggero D; Shokat KM,2009,PLoS Biology,D - Mechanistic/Review,5 - Mechanistic / In Vitro,Mechanism,Mouse fibroblasts + primary cells,Yes,10.1371/journal.pbio.1000038,19209957,PMC2637922,"The parallel discovery to Thoreen 2009 (same year), from the Shokat lab. Their TORKinibs (PP242, PP30) block mTOR's active site, hitting both complexes and shutting down cap-dependent translation that rapamycin misses. Together these two papers established a whole new drug class beyond rapamycin.
","The mammalian target of rapamycin (mTOR) regulates cell growth and survival by integrating nutrient and hormonal signals. These signaling functions are distributed between at least two distinct mTOR protein complexes: mTORC1 and mTORC2. mTORC1 is sensitive to the selective inhibitor rapamycin and activated by growth factor stimulation via the canonical phosphoinositide 3-kinase (PI3K)-->Akt-->mTOR pathway. Activated mTORC1 kinase up-regulates protein synthesis by phosphorylating key regulators of mRNA translation. By contrast, mTORC2 is resistant to rapamycin. Genetic studies have suggested that mTORC2 may phosphorylate Akt at S473, one of two phosphorylation sites required for Akt activation; this has been controversial, in part because RNA interference and gene knockouts produce distinct Akt phospho-isoforms. The central role of mTOR in controlling key cellular growth and survival pathways has sparked interest in discovering mTOR inhibitors that bind to the ATP site and therefore target both mTORC2 and mTORC1. We investigated mTOR signaling in cells and animals with two novel and specific mTOR kinase domain inhibitors (TORKinibs). Unlike rapamycin, these TORKinibs (PP242 and PP30) inhibit mTORC2, and we use them to show that pharmacological inhibition of mTOR blocks the phosphorylation of Akt at S473 and prevents its full activation. Furthermore, we show that TORKinibs inhibit proliferation of primary cells more completely than rapamycin. Surprisingly, we find that mTORC2 is not the basis for this enhanced activity, and we show that the TORKinib PP242 is a more effective mTORC1 inhibitor than rapamycin. Importantly, at the molecular level, PP242 inhibits cap-dependent translation under conditions in which rapamycin has no effect. Our findings identify new functional features of mTORC1 that are resistant to rapamycin but are effectively targeted by TORKinibs. These potent new pharmacological agents complement rapamycin in the study of mTOR and its role in normal physiology and human disease.",ATP-competitive mTOR active-site inhibitors (vs rapamycin),mTORC1 & mTORC2,Mouse fibroblasts + primary cells,"Active-site inhibitors block rapamycin-resistant outputs of mTORC1/2 (e.g. 4E-BP1), unlike rapamycin",,,,,https://mtor-atlas.org/study/FEL2009/
IYE2012,Genome sequencing identifies a basis for everolimus sensitivity,Iyer G; Solit DB et al.,2012,Science,B - Human,3 - Human Observational,Human,Human (patient) + sequencing,Yes,10.1126/science.1226344,22923433,PMC3633467,"Genome sequencing of a single exceptional everolimus responder implicates TSC1 loss as the sensitivity basis. An n-of-1 observation, hypothesis-generating rather than confirmatory.
","Cancer drugs often induce dramatic responses in a small minority of patients. We used whole-genome sequencing to investigate the genetic basis of a durable remission of metastatic bladder cancer in a patient treated with everolimus, a drug that inhibits the mTOR (mammalian target of rapamycin) signaling pathway. Among the somatic mutations was a loss-of-function mutation in TSC1 (tuberous sclerosis complex 1), a regulator of mTOR pathway activation. Targeted sequencing revealed TSC1 mutations in about 8% of 109 additional bladder cancers examined, and TSC1 mutation correlated with everolimus sensitivity. These results demonstrate the feasibility of using whole-genome sequencing in the clinical setting to identify previously occult biomarkers of drug sensitivity that can aid in the identification of patients most likely to respond to targeted anticancer drugs.",Everolimus (mTOR inhibitor),mTOR / TSC1,Human – metastatic bladder cancer patient + tumor sequencing,Loss-of-function TSC1 mutation explains an exceptional everolimus response; TSC1 mutated in ~8% of bladder cancers,Everolimus (mTOR inhibitor) in a phase II trial; whole-genome/targeted tumor sequencing of an exceptional responder.,1 exceptional responder + targeted sequencing of additional bladder tumors; 3 further TSC1-nonsense tumors identified (2 minor responders: 17% and 24% regression; 1 with 7%).,"Loss-of-function TSC1 mutation underlies the exceptional everolimus response. TSC1-mutant tumors stayed on everolimus longer (7.7 vs 2.0 months, p=0.004) with improved time to recurrence (4.1 vs 1.8 months).",Inference from rare responders; basis of mTOR-inhibitor sensitivity beyond TSC1/2 loss still incompletely understood.,https://mtor-atlas.org/study/IYE2012/
HOL2005,mTOR and S6K1 mediate assembly of the translation preinitiation complex through dynamic protein interchange and ordered phosphorylation events,Holz MK; Blenis J et al.,2005,Cell,D - Mechanistic/Review,5 - Mechanistic / In Vitro,Mechanism,Mammalian cells,Yes,10.1016/j.cell.2005.10.024,16286006,,"mTOR and S6K1 dynamically assemble the translation preinitiation complex on eIF3.
","In response to nutrients, energy sufficiency, hormones, and mitogenic agents, S6K1 phosphorylates several targets linked to translation. However, the molecular mechanisms whereby S6K1 is activated, encounters substrate, and contributes to translation initiation are poorly understood. We show that mTOR and S6K1 maneuver on and off the eukaryotic initiation factor 3 (eIF3) translation initiation complex in a signal-dependent, choreographed fashion. When inactive, S6K1 associates with the eIF3 complex, while the S6K1 activator mTOR/raptor does not. Cell stimulation promotes mTOR/raptor binding to the eIF3 complex and phosphorylation of S6K1 at its hydrophobic motif. Phosphorylation results in S6K1 dissociation, activation, and subsequent phosphorylation of its translational targets, including eIF4B, which is then recruited into the complex in a phosphorylation-dependent manner. Thus, the eIF3 preinitiation complex acts as a scaffold to coordinate a dynamic sequence of events in response to stimuli that promote efficient protein synthesis.",Biochemical,mTOR / S6K1 / eIF3,Mammalian cells,mTOR and S6K1 dynamically associate with eIF3 to control translation preinitiation via ordered phosphorylation,,,,,https://mtor-atlas.org/study/HOL2005/
EGA2010,Phosphorylation of ULK1 (hATG1) by AMP-activated protein kinase connects energy sensing to mitophagy,Egan DF; Shaw RJ et al.,2010,Science,D - Mechanistic/Review,5 - Mechanistic / In Vitro,Mechanism,Mammalian cells,Yes,10.1126/science.1196371,21205641,PMC3030664,"AMPK directly phosphorylates ULK1 to connect energy sensing to autophagy/mitophagy, opposing mTOR.
","Adenosine monophosphate-activated protein kinase (AMPK) is a conserved sensor of intracellular energy activated in response to low nutrient availability and environmental stress. In a screen for conserved substrates of AMPK, we identified ULK1 and ULK2, mammalian orthologs of the yeast protein kinase Atg1, which is required for autophagy. Genetic analysis of AMPK or ULK1 in mammalian liver and Caenorhabditis elegans revealed a requirement for these kinases in autophagy. In mammals, loss of AMPK or ULK1 resulted in aberrant accumulation of the autophagy adaptor p62 and defective mitophagy. Reconstitution of ULK1-deficient cells with a mutant ULK1 that cannot be phosphorylated by AMPK revealed that such phosphorylation is required for mitochondrial homeostasis and cell survival during starvation. These findings uncover a conserved biochemical mechanism coupling nutrient status with autophagy and cell survival.",Genetic/biochemical (AMPK–ULK1),AMPK / ULK1 / mTORC1,Mammalian cells (+ C. elegans),AMPK phosphorylates ULK1 to connect energy sensing to autophagy/mitophagy,,,,,https://mtor-atlas.org/study/EGA2010/
SRI2026,Nutrient/TOR signaling controls adipose mitochondrial transcription factor A (TFAM) to regulate organismal growth in Drosophila,Sriskanthadevan-Pirahas S et al.,2026,FEBS Lett,C - Animal,4 - Animal Study,Animal,"Drosophila (larvae, fat body)",Yes,10.1002/1873-3468.70427,42572502,,"In Drosophila larvae, nutrient/TOR signaling in the fat body (a key nutrient-sensing tissue) post-transcriptionally suppresses the mitochondrial transcription factor TFAM, and this TOR→TFAM axis in fat-body tissue controls whole-body developmental growth — a mechanistic link between nutrient sensing and interorgan growth control via mitochondrial bioenergetics.
","Animals must adapt their growth to fluctuations in nutrient availability to ensure proper development. While nutrient-sensing tissues coordinate organismal growth through interorgan signaling, the metabolic changes within these tissues that mediate whole-body growth control remain poorly understood. Using Drosophila larvae, we show that TOR (target of rapamycin), a conserved nutrient-sensing kinase, controls developmental growth through regulation of the mitochondrial genome transcription factor TFAM, which controls mitochondrial bioenergetic capacity. We find that nutrient/TOR signaling post-transcriptionally suppresses TFAM protein levels. Furthermore, we find that TOR regulation of TFAM in the larval fat body, a key nutrient-sensing tissue, controls developmental growth. These findings establish a molecular mechanism linking nutrient-sensing pathways to mitochondrial metabolism, revealing how environmental nutrient availability coordinates organismal growth through tissue-specific metabolic control.",Genetic manipulation of TOR signaling in the fat body (Drosophila),TOR → TFAM (mitochondrial transcription factor A),Drosophila melanogaster (larvae),TOR suppresses TFAM protein levels in the fat body; this axis controls organismal developmental growth,,,,,https://mtor-atlas.org/study/SRI2026/
VER2026,Testosterone propionate maintains autophagic flux and mitochondrial integrity via regulation of the LC3B/p62/Beclin-1/mTOR axis in induced liver fibrosis.,"Verma S, Vaishnav S, Yadav M, Verma A, Washimkar K",2026,Journal of Molecular Histology,C - Animal,4 - Animal Study,Animal,Rat,Yes,10.1007/s10735-026-10905-0,42461311,,"Testosterone propionate protects against CCl4-induced liver fibrosis by maintaining mTOR-regulated autophagic flux via the LC3B/p62/Beclin-1 axis, preserving mitochondrial integrity; castration worsens fibrosis by impairing this pathway.
","In a CCl4-induced chronic liver injury rat model, testosterone propionate was found to preserve autophagic flux and mitochondrial function. Androgen deprivation worsened hepatic damage, while testosterone treatment maintained the LC3B/p62/Beclin-1/mTOR axis and protected mitochondrial quality control and reduced apoptosis.",Testosterone propionate,mTOR / LC3B / p62 / Beclin-1 autophagy axis,Rat,Testosterone maintains mTOR-regulated autophagy and mitochondrial integrity; androgen deprivation impairs autophagy and worsens liver fibrosis,,,,,https://mtor-atlas.org/study/VER2026/
LIU2015,"PtdIns(3,4,5)P3-Dependent Activation of the mTORC2 Kinase Complex",Liu P; Wei W et al.,2015,Cancer discovery,D - Mechanistic/Review,5 - Mechanistic / In Vitro,Mechanism,Mammalian cells,Yes,10.1158/2159-8290.CD-15-0460,26293922,PMC4631654,"PIP3 relieves SIN1 PH-domain autoinhibition to activate the mTORC2 kinase complex.
","mTOR serves as a central regulator of cell growth and metabolism by forming two distinct complexes, mTORC1 and mTORC2. Although mechanisms of mTORC1 activation by growth factors and amino acids have been extensively studied, the upstream regulatory mechanisms leading to mTORC2 activation remain largely elusive. Here, we report that the pleckstrin homology (PH) domain of SIN1, an essential and unique component of mTORC2, interacts with the mTOR kinase domain to suppress mTOR activity. More importantly, PtdIns(3,4,5)P3, but not other PtdInsPn species, interacts with SIN1-PH to release its inhibition on the mTOR kinase domain, thereby triggering mTORC2 activation. Mutating critical SIN1 residues that mediate PtdIns(3,4,5)P3 interaction inactivates mTORC2, whereas mTORC2 activity is pathologically increased by patient-derived mutations in the SIN1-PH domain, promoting cell growth and tumor formation. Together, our study unravels a PI3K-dependent mechanism for mTORC2 activation, allowing mTORC2 to activate AKT in a manner that is regulated temporally and spatially by PtdIns(3,4,5)P3.",Biochemical/genetic (SIN1 PH domain),"mTORC2 / SIN1 / PtdIns(3,4,5)P3",Mammalian cells,PIP3 binds the SIN1 PH domain to relieve suppression of mTOR → activates mTORC2,,,,,https://mtor-atlas.org/study/LIU2015/
MAN2021,Targeting the biology of ageing with mTOR inhibitors to improve immune function in older adults: phase 2b and phase 3 randomised trials,Mannick JB; Teo G; Bernardo P; Quinn D; Russell K; Klickstein L; Marshall W; Shergill S,2021,Lancet Healthy Longevity,B - Human,2 - Human Clinical Trial,Negative_result,"Humans, phase 2b + phase 3 RCT (n=1024 phase 3)",Yes,10.1016/S2666-7568(21)00062-3,33977284,PMC8102040,"The crucial reality check. After the promising phase 2a, the large phase 3 trial (n=1024) FAILED its primary endpoint - RTB101 did not reduce clinically symptomatic respiratory illness (26% vs 25%, p=0.65). It still reliably switched on antiviral genes, so the biomarker moved but the clinical outcome did not. A textbook lesson that a promising biomarker is not a proven benefit.
","The COVID-19 pandemic highlights the need for therapies that improve immune function in older adults, including interferon (IFN)-induced antiviral immunity that declines with age. In a previous phase 2a trial, RTB101 (previously known as BEZ235), an oral mechanistic target of rapamycin (mTOR) inhibitor, was observed to increase IFN-induced antiviral gene expression and decrease the incidence of respiratory tract infections (RTIs) in older adults. Therefore, we aimed to investigate whether oral RTB101 upregulated IFN-induced antiviral responses and decreased the incidence of viral RTIs when given once daily for 16 weeks during winter cold and flu season.

We did a phase 2b and a phase 3 double-blind, randomised, placebo-controlled trial in adults aged at least 65 years enrolled in New Zealand, Australia, and the USA at 54 sites. In the phase 2b trial, patients were aged 65-85 years, with asthma, type 2 diabetes, chronic obstructive pulmonary disease (COPD), congestive heart failure, were current smokers, or had an emergency room or hospitalisation for an RTI within the past 12 months. In the phase 3 trial, patients were aged at least 65 years, did not have COPD, and were not current smokers. In the phase 2b trial, patients were randomly assigned to using a validated automated randomisation system to oral RTB101 5 mg, RTB101 10 mg once daily, or placebo in part 1 and RTB101 10 mg once daily, RTB101 10 mg twice daily, RTB101 10 mg plus everolimus once daily, or matching placebo in part 2. In the phase 3 trial, patients were randomly assigned to RTB101 10mg once daily or matching placebo. The phase 2b primary outcome was the incidence of laboratory-confirmed RTIs during 16 weeks of winter cold and influenza season and the phase 3 primary outcome was the incidence of clinically symptomatic respiratory illness defined as symptoms consistent with an RTI, irrespective of whether an infection was laboratory-confirmed. Patients, investigators, and sponsor were masked to treatment assignments. All patients who received at least part of one dose of study drug were included in the primary and safety analyses. The phase 2b trial was registered with ANZCTR, ACTRN12617000468325, ClinicalTrials.gov, NCT03373903, and the phase 3 trial was registered with ANZCTR, ACTRN12619000628145.

In the phase 2b trial, we recruited 652 participants in total between May 16, 2017, and Jan 10, 2018, 179 participants to part 1 of the study (randomly assigned 1:1:1 to RTB101 5 mg once daily [61 participants], RTB101 10 mg once daily [58 participants], or matching placebo [60 participants]) and 473 patients to part 2 (randomly assigned 1:1:1:1 to RTB101 10 mg once daily [118 participants], RTB101 10 mg twice daily [120 participants], RTB101 10 mg in combination with everolimus 0·1 mg daily [115 participants] or matching placebo [120 participants]). In our first prespecified statistical analysis of the primary efficacy endpoint for part 2 of the phase 2b trial efficacy of RTB101 10 mg in combination with everolimus 0·1 mg once daily compared with placebo did not meet statistical significance but, in our second prespecified analysis, which included data from part 1 and part 2, we found a statistically significant reduction in the proportion of patients who had one or more laboratory-confirmed RTIs in the RTB101 10 mg once daily treatment group (34 [19%] of 176) compared with the pooled placebo group (50 [28%] of 180; odds ratio [OR] 0·601 [90% CI 0·391-0·922]; p=0·02). In the phase 3 trial, we enrolled 1024 patients between May 7, 2018, and July 19, 2019. 513 (50·1%) participants were randomly assigned to RTB101 10 mg once daily and 510 (49·9%) to placebo. In the full analysis set of the phase 3 trial, RTB101 did not reduce the proportion of patients with clinically symptomatic respiratory illness (134 [26%] of 511 patients in the RTB101 treatment group125 [25%] 510 patients in the placebo treatment group; OR 1·07 [90% CI 0·80-1·42]; p=0·65). In both trials, significantly more IFN-induced antiviral genes were upregulated in patients treated with RTB101 as compared with placebo. The study drug was found to be safe and well-tolerated across trials and treatment groups. Only one patient in the placebo group in the phase 3 trial had serious adverse events (nausea, fatigue, hyponatraemia, and arthralgia) which were considered related to study drug treatment. Three patients died in the phase 2b trial and one in the phase 3 trial but no deaths were considered related to study treatment.

The combined results indicate that low doses of the mTOR inhibitor RTB101 are well tolerated and upregulate IFN-induced antiviral responses in older adults. Further refinement of clinical trial endpoints and patient populations might be required to identify whether upregulation of IFN responses by mTOR inhibitors consistently decreases the incidence or severity of viral infections in older adults.

resTORbio and the National Institute on Aging.","RTB101 (BEZ235), oral mTOR inhibitor; ± everolimus",mTOR (TORC1/2),Human – phase 2b + phase 3 RCT (n=1024),"Phase 3 FAILED its primary endpoint (no reduction in symptomatic respiratory infections, 26 vs 25%); antiviral genes still upregulated","RTB101 5 or 10 mg once daily (+/- everolimus in phase 2b); phase 3 used RTB101 10 mg once daily; oral, placebo-controlled.",Phase 2b + phase 3 across >1500 adults aged >=65 (phase 3 n=1024); antiviral-gene subset 180 placebo + 180 RTB101.,"Phase 3 primary endpoint (proportion with >=1 clinically symptomatic respiratory illness) NOT met; RTB101 still upregulated IFN-induced antiviral gene expression. Biomarker moved, clinical outcome did not.","FDA changed the primary endpoint between phase 2b and phase 3 (symptom-based vs lab-confirmed), complicating comparison; positive biomarker did not translate to clinical benefit.",https://mtor-atlas.org/study/MAN2021/
JOS2024,"mTORC1 activity oscillates throughout the cell cycle, promoting mitotic entry and differentially influencing autophagy induction",Joshi JN; Valvezan AJ et al.,2024,Cell Reports,D - Mechanistic/Review,5 - Mechanistic / In Vitro,Mechanism,Human & mouse cell lines (live single-cell imaging),Yes,10.1016/j.celrep.2024.114543,39067023,PMC12730006,"mTORC1 activity oscillates across the cell cycle (lowest in mitosis/G1, highest in S/G2) via the TSC complex, independent of Akt/Mek-Erk; low mTORC1 in G1 sensitizes cells to autophagy induction from the same partial inhibition or nutrient drop -- direct evidence that the TIMING/pattern of mTORC1 activity, not just its average level, shapes autophagy outcome.
","Mechanistic Target of Rapamycin Complex 1 (mTORC1) is a master metabolic regulator that is active in nearly all proliferating eukaryotic cells; however, it is unclear whether mTORC1 activity changes throughout the cell cycle. We find that mTORC1 activity oscillates from lowest in mitosis/G1 to highest in S/G2. The interphase oscillation is mediated through the TSC complex but is independent of major known regulatory inputs, including Akt and Mek/Erk signaling. By contrast, suppression of mTORC1 activity in mitosis does not require the TSC complex. mTORC1 has long been known to promote progression through G1. We find that mTORC1 also promotes progression through S and G2 and is important for satisfying the Chk1/Wee1-dependent G2/M checkpoint to allow entry into mitosis. We also find that low mTORC1 activity in G1 sensitizes cells to autophagy induction in response to partial mTORC1 inhibition or reduced nutrient levels. Together, these findings demonstrate that mTORC1 is differentially regulated throughout the cell cycle, with important phase-specific consequences for proliferating cells.",Partial mTORC1 inhibition; nutrient reduction; cell-cycle synchronization,mTORC1 / TSC complex,Human & mouse cell lines,"mTORC1 activity oscillates across the cell cycle (low mitosis/G1, high S/G2); low-mTORC1 G1 cells are more sensitive to autophagy induction",,,,,https://mtor-atlas.org/study/JOS2024/
SAN2008,The Rag GTPases bind raptor and mediate amino acid signaling to mTORC1,Sancak Y; Sabatini DM et al.,2008,Science,D - Mechanistic/Review,5 - Mechanistic / In Vitro,Mechanism,Human cell lines,Yes,10.1126/science.1157535,18497260,PMC2475333,"Identifies the Rag GTPase family as the missing link that lets mTORC1 sense amino acids by controlling whether mTOR is positioned near its activator Rheb.
","The multiprotein mTORC1 protein kinase complex is the central component of a pathway that promotes growth in response to insulin, energy levels, and amino acids and is deregulated in common cancers. We find that the Rag proteins--a family of four related small guanosine triphosphatases (GTPases)--interact with mTORC1 in an amino acid-sensitive manner and are necessary for the activation of the mTORC1 pathway by amino acids. A Rag mutant that is constitutively bound to guanosine triphosphate interacted strongly with mTORC1, and its expression within cells made the mTORC1 pathway resistant to amino acid deprivation. Conversely, expression of a guanosine diphosphate-bound Rag mutant prevented stimulation of mTORC1 by amino acids. The Rag proteins do not directly stimulate the kinase activity of mTORC1, but, like amino acids, promote the intracellular localization of mTOR to a compartment that also contains its activator Rheb.",Genetic/biochemical (Rag GTPases),Rag GTPases / raptor / mTORC1,Human cell lines,Rag GTPases interact with raptor in an amino-acid-sensitive way and are necessary for amino-acid activation of mTORC1,,,,,https://mtor-atlas.org/study/SAN2008/
