source,target,n_studies,study_sids,status,confidence,example_raw,REVIEWED,SIGN
mTOR,p70 S6K,2,"BUR1998, HAR1998",Proposed,heuristic-order-in-AI_Target,RAFT1/mTOR / p70 S6K / 4E-BP1,,
mTORC2,actin cytoskeleton,2,"JAC2004, SAR2004",Proposed,heuristic-order-in-AI_Target,mTORC2 (rictor) / actin cytoskeleton,,
GATOR,Rag,2,"PAR2014, PEN2017",Proposed,heuristic-order-in-AI_Target,Sestrins / GATOR / Rag / mTORC1,,
mTORC1,S6K1,2,"BEN2013, ROB2013",Proposed,heuristic-order-in-AI_Target,mTORC1 / S6K1 / CAD (pyrimidine synthesis),,
S6K1,CAD,2,"BEN2013, ROB2013",Proposed,heuristic-order-in-AI_Target,mTORC1 / S6K1 / CAD (pyrimidine synthesis),,
mTOR,amyloid-β,2,"CAC2010, SPI2010",Proposed,heuristic-order-in-AI_Target,mTOR / amyloid-β / Tau,,
TORC1,Rag GTPases,2,"DEM2014, KIM2008",Proposed,heuristic-order-in-AI_Target,TORC1 / Rag GTPases,,
nutrient-sensing,mTOR,2,"MAT2017, ROM2016",Proposed,heuristic-order-in-AI_Target,Nutrient-sensing / mTOR (indirect),,
TOR,Sch9,2,"KAE2005, POW2006",Proposed,heuristic-order-in-AI_Target,TOR / Sch9,,
TSC2,AMPK,2,"INO2003, INO2006",Proposed,heuristic-order-in-AI_Target,TSC2 / AMPK / GSK3 / mTOR,,
mTOR,autophagy,2,"MA2026, RAV2004",Proposed,heuristic-order-in-AI_Target,mTOR / autophagy,,
mTOR,FKBP12,2,"BRO1994, SAB1995",Proposed,heuristic-order-in-AI_Target,mTOR (FRAP/RAFT1) / FKBP12,,
mTORC1,Grb10,2,"HSU2011, YUX2011",Proposed,heuristic-order-in-AI_Target,mTORC1 / Grb10 / growth-factor signaling,,
Rag GTPases,Ragulator,2,"LAW2018, SUX2017",Proposed,heuristic-order-in-AI_Target,Rag GTPases / Ragulator (Lamtor1-5) / mTORC1,,
mTORC1,Rheb,2,"SAN2010, YAN2017",Proposed,heuristic-order-in-AI_Target,Ragulator / Rag / mTORC1 / Rheb,,
TSC2,mTORC1,1,DEM2016,Proposed,heuristic-order-in-AI_Target,TSC2 / mTORC1,,
Rheb,TSC2,1,INOK2003,Proposed,heuristic-order-in-AI_Target,Rheb / TSC2 / mTOR,,
TSC2,mTOR,1,INOK2003,Proposed,heuristic-order-in-AI_Target,Rheb / TSC2 / mTOR,,
TSC2,Akt,1,INO2002,Proposed,heuristic-order-in-AI_Target,TSC2 / Akt / mTOR,,
ULK1,AMPK,1,LOF2011,Proposed,heuristic-order-in-AI_Target,ULK1 / AMPK / mTORC1,,
AMPK,mTORC1,1,LOF2011,Proposed,heuristic-order-in-AI_Target,ULK1 / AMPK / mTORC1,,
raptor,GβL,1,KIM2003,Proposed,heuristic-order-in-AI_Target,mTOR / raptor / GβL (mLST8),,
mTORC1,AMPK,1,GWI2008,Proposed,heuristic-order-in-AI_Target,raptor / mTORC1 / AMPK,,
GH,IGF-1,1,BRO1996,Proposed,heuristic-order-in-AI_Target,GH/IGF-1 axis (upstream of PI3K-Akt-mTOR),,
mTOR,4E-BP–eIF4E translation,1,HSI2012,Proposed,heuristic-order-in-AI_Target,mTOR / 4E-BP–eIF4E translation,,
mTOR,mTORC1,1,KRA2018,Proposed,heuristic-order-in-AI_Target,mTOR / mTORC1,,
mTOR,4E-BP,1,MAX2009,Proposed,heuristic-order-in-AI_Target,mTOR / 4E-BP / S6K translation machinery,,
4E-BP,S6K translation,1,MAX2009,Proposed,heuristic-order-in-AI_Target,mTOR / 4E-BP / S6K translation machinery,,
FKBP,TOR,1,HEI1991,Proposed,heuristic-order-in-AI_Target,FKBP / TOR,,
mTOR,TFEB,1,GAO2026,Proposed,heuristic-order-in-AI_Target,mTOR / TFEB / GADD45alpha / autophagy,,
TFEB,GADD45alpha,1,GAO2026,Proposed,heuristic-order-in-AI_Target,mTOR / TFEB / GADD45alpha / autophagy,,
GADD45alpha,autophagy,1,GAO2026,Proposed,heuristic-order-in-AI_Target,mTOR / TFEB / GADD45alpha / autophagy,,
Rac1,mTORC1,1,SAC2011,Proposed,heuristic-order-in-AI_Target,Rac1 / mTORC1 / mTORC2,,
Sestrin2,GATOR2,1,WOL2015,Proposed,heuristic-order-in-AI_Target,Sestrin2 / GATOR2 / Rag / mTORC1,,
SLC36A1,lysosomal amino acid efflux,1,YIN2026,Proposed,heuristic-order-in-AI_Target,SLC36A1 (PAT1) / lysosomal amino acid efflux / mTORC1 activation,,
lysosomal amino acid efflux,mTORC1,1,YIN2026,Proposed,heuristic-order-in-AI_Target,SLC36A1 (PAT1) / lysosomal amino acid efflux / mTORC1 activation,,
FKBP,p70 S6 kinase,1,CHU1992,Proposed,heuristic-order-in-AI_Target,FKBP / p70 S6 kinase,,
RAFT1,FKBP12,1,SAB1994,Proposed,heuristic-order-in-AI_Target,RAFT1 (mTOR/FRAP) / FKBP12,,
S6K1,eIF3,1,HOL2005,Proposed,heuristic-order-in-AI_Target,mTOR / S6K1 / eIF3,,
AMPK,ULK1,1,EGA2010,Proposed,heuristic-order-in-AI_Target,AMPK / ULK1 / mTORC1,,
ULK1,mTORC1,1,EGA2010,Proposed,heuristic-order-in-AI_Target,AMPK / ULK1 / mTORC1,,
mTOR,LC3B,1,VER2026,Proposed,heuristic-order-in-AI_Target,mTOR / LC3B / p62 / Beclin-1 autophagy axis,,
p62,Beclin-1 autophagy,1,VER2026,Proposed,heuristic-order-in-AI_Target,mTOR / LC3B / p62 / Beclin-1 autophagy axis,,
mTORC2,SIN1,1,LIU2015,Proposed,heuristic-order-in-AI_Target,"mTORC2 / SIN1 / PtdIns(3,4,5)P3",,
SIN1,PtdIns P3,1,LIU2015,Proposed,heuristic-order-in-AI_Target,"mTORC2 / SIN1 / PtdIns(3,4,5)P3",,
mTORC1,TSC complex,1,JOS2024,Proposed,heuristic-order-in-AI_Target,mTORC1 / TSC complex,,
Rag GTPases,raptor,1,SAN2008,Proposed,heuristic-order-in-AI_Target,Rag GTPases / raptor / mTORC1,,
mTOR,IRS-1,1,ORE2006,Proposed,heuristic-order-in-AI_Target,mTOR / IRS-1 / Akt / RTK,,
IRS-1,Akt,1,ORE2006,Proposed,heuristic-order-in-AI_Target,mTOR / IRS-1 / Akt / RTK,,
FLCN–FNIP2,RagC,1,LAW2019,Proposed,heuristic-order-in-AI_Target,FLCN–FNIP2 / RagC / mTORC1,,
RagC,mTORC1,1,LAW2019,Proposed,heuristic-order-in-AI_Target,FLCN–FNIP2 / RagC / mTORC1,,
Ragulator,Rag GTPases,1,BAR2012,Proposed,heuristic-order-in-AI_Target,Ragulator / Rag GTPases / mTORC1,,
Nutrient,mTOR,1,SOL2014,Proposed,heuristic-order-in-AI_Target,Nutrient/mTOR signaling (dietary protein),,
RAFT1,mTOR,1,BUR1998,Proposed,heuristic-order-in-AI_Target,RAFT1/mTOR / p70 S6K / 4E-BP1,,
Nutrient,aging pathways,1,STR2012,Proposed,heuristic-order-in-AI_Target,Nutrient/aging pathways (not mTOR-specific),,
S6K1,PDCD4,1,DOR2006,Proposed,heuristic-order-in-AI_Target,S6K1 / PDCD4 / eIF4A,,
PDCD4,eIF4A,1,DOR2006,Proposed,heuristic-order-in-AI_Target,S6K1 / PDCD4 / eIF4A,,
Metabolic,aging pathways,1,HAR2014,Proposed,heuristic-order-in-AI_Target,Metabolic/aging pathways,,
PI3K,Akt,1,BANERJEE2026,Proposed,heuristic-order-in-AI_Target,PI3K/Akt/mTOR-JAK/STAT axis,,
Akt,mTOR-JAK,1,BANERJEE2026,Proposed,heuristic-order-in-AI_Target,PI3K/Akt/mTOR-JAK/STAT axis,,
mTOR-JAK,STAT,1,BANERJEE2026,Proposed,heuristic-order-in-AI_Target,PI3K/Akt/mTOR-JAK/STAT axis,,
mTORC1,IL1A,1,LAB2015,Proposed,heuristic-order-in-AI_Target,mTORC1 / IL1A / SASP,,
IL1A,SASP,1,LAB2015,Proposed,heuristic-order-in-AI_Target,mTORC1 / IL1A / SASP,,
Sestrins,GATOR,1,PAR2014,Proposed,heuristic-order-in-AI_Target,Sestrins / GATOR / Rag / mTORC1,,
Lamtor5,mTORC1 Ragulator complex,1,LV2026,Proposed,heuristic-order-in-AI_Target,Lamtor5 / mTORC1 Ragulator complex / cGAS-STING,,
mTORC1 Ragulator complex,cGAS-STING,1,LV2026,Proposed,heuristic-order-in-AI_Target,Lamtor5 / mTORC1 Ragulator complex / cGAS-STING,,
mTORC2,mSin1,1,FRI2006,Proposed,heuristic-order-in-AI_Target,mTORC2 / mSin1 / Akt,,
mSin1,Akt,1,FRI2006,Proposed,heuristic-order-in-AI_Target,mTORC2 / mSin1 / Akt,,
TORC2,SIN1,1,YAN2006,Proposed,heuristic-order-in-AI_Target,TORC2 / Sin1 / Akt,,
SIN1,Akt,1,YAN2006,Proposed,heuristic-order-in-AI_Target,TORC2 / Sin1 / Akt,,
TORC1,TORC2 substrates,1,BAT2022,Proposed,heuristic-order-in-AI_Target,TORC1 / TORC2 substrates,,
TFEB,FLCN,1,NAP2020,Proposed,heuristic-order-in-AI_Target,mTORC1 / TFEB / FLCN,,
amyloid-β,Tau,1,CAC2010,Proposed,heuristic-order-in-AI_Target,mTOR / amyloid-β / Tau,,
raptor,4EBP1,1,HARA2002,Proposed,heuristic-order-in-AI_Target,mTOR / raptor / 4EBP1 / S6K,,
4EBP1,S6K,1,HARA2002,Proposed,heuristic-order-in-AI_Target,mTOR / raptor / 4EBP1 / S6K,,
mTORC1,nucleotide synthesis,1,VAL2017,Proposed,heuristic-order-in-AI_Target,mTORC1 / nucleotide synthesis,,
mTORC2,Akt-FOXO,1,GUE2006,Proposed,heuristic-order-in-AI_Target,mTORC1 vs mTORC2 / Akt-FOXO / PKCα,,
Akt-FOXO,PKCα,1,GUE2006,Proposed,heuristic-order-in-AI_Target,mTORC1 vs mTORC2 / Akt-FOXO / PKCα,,
mTOR,4EBP-eIF4E,1,HSI2010,Proposed,heuristic-order-in-AI_Target,mTOR / 4EBP-eIF4E,,
mTORC1,IMP dehydrogenase,1,GIL2026,Proposed,heuristic-order-in-AI_Target,mTORC1 / IMP dehydrogenase / purine biosynthesis / mitochondria,,
IMP dehydrogenase,purine biosynthesis,1,GIL2026,Proposed,heuristic-order-in-AI_Target,mTORC1 / IMP dehydrogenase / purine biosynthesis / mitochondria,,
purine biosynthesis,mitochondria,1,GIL2026,Proposed,heuristic-order-in-AI_Target,mTORC1 / IMP dehydrogenase / purine biosynthesis / mitochondria,,
Rheb,TSC1-TSC2,1,GAR2003,Proposed,heuristic-order-in-AI_Target,Rheb / TSC1-TSC2 / mTOR-S6K-4EBP,,
TSC1-TSC2,mTOR-S6K-4EBP,1,GAR2003,Proposed,heuristic-order-in-AI_Target,Rheb / TSC1-TSC2 / mTOR-S6K-4EBP,,
Slc7a5,leucine,1,SIN2013,Proposed,heuristic-order-in-AI_Target,Slc7a5 (System L) / leucine / mTORC1,,
leucine,mTORC1,1,SIN2013,Proposed,heuristic-order-in-AI_Target,Slc7a5 (System L) / leucine / mTORC1,,
CASTOR1,GATOR2,1,SAX2016,Proposed,heuristic-order-in-AI_Target,CASTOR1 / GATOR2 / mTORC1 (arginine),,
Rheb,TOR,1,SAU2003,Proposed,heuristic-order-in-AI_Target,Rheb / TOR,,
FLCN,RagC-RagD,1,TSU2013,Proposed,heuristic-order-in-AI_Target,FLCN / RagC-RagD / mTORC1,,
RagC-RagD,mTORC1,1,TSU2013,Proposed,heuristic-order-in-AI_Target,FLCN / RagC-RagD / mTORC1,,
SLC38A9,arginine,1,LEI2018,Proposed,heuristic-order-in-AI_Target,SLC38A9 / arginine / mTORC1,,
arginine,mTORC1,1,LEI2018,Proposed,heuristic-order-in-AI_Target,SLC38A9 / arginine / mTORC1,,
FLCN–FNIP2,Rag,1,SHE2019,Proposed,heuristic-order-in-AI_Target,FLCN-FNIP2 / Rag / Ragulator / mTORC1,,
Rag,Ragulator,1,SHE2019,Proposed,heuristic-order-in-AI_Target,FLCN-FNIP2 / Rag / Ragulator / mTORC1,,
Sestrin2,leucine,1,SAX2015,Proposed,heuristic-order-in-AI_Target,Sestrin2 / leucine / GATOR2 / mTORC1,,
leucine,GATOR2,1,SAX2015,Proposed,heuristic-order-in-AI_Target,Sestrin2 / leucine / GATOR2 / mTORC1,,
Sestrins,GATOR2,1,CHA2014,Proposed,heuristic-order-in-AI_Target,Sestrins / GATOR2 / Rag / mTORC1,,
mTORC1,TSC2,1,EHN2008,Proposed,heuristic-order-in-AI_Target,mTORC1 / TSC2,,
AMPK,GSK3,1,INO2006,Proposed,heuristic-order-in-AI_Target,TSC2 / AMPK / GSK3 / mTOR,,
GSK3,mTOR,1,INO2006,Proposed,heuristic-order-in-AI_Target,TSC2 / AMPK / GSK3 / mTOR,,
PI3K,PIP3,1,CAN2002,Proposed,heuristic-order-in-AI_Target,PI3K / PIP3 (upstream of Akt-mTOR),,
mTOR,YY1,1,CUN2007,Proposed,heuristic-order-in-AI_Target,mTOR / YY1 / PGC-1α,,
YY1,PGC-1α,1,CUN2007,Proposed,heuristic-order-in-AI_Target,mTOR / YY1 / PGC-1α,,
mTOR,autophagic lysosome reformation,1,YUX2010,Proposed,heuristic-order-in-AI_Target,mTOR / autophagic lysosome reformation,,
mTOR,Akt,1,MAJ2004,Proposed,heuristic-order-in-AI_Target,mTOR / Akt / HIF-1,,
Akt,HIF-1,1,MAJ2004,Proposed,heuristic-order-in-AI_Target,mTOR / Akt / HIF-1,,
mTORC1,eIF4A,1,JIN2026,Proposed,heuristic-order-in-AI_Target,mTORC1 / eIF4A / 4E-BP1,,
eIF4A,4E-BP1,1,JIN2026,Proposed,heuristic-order-in-AI_Target,mTORC1 / eIF4A / 4E-BP1,,
TOR,Lst8,1,BAR2016,Proposed,heuristic-order-in-AI_Target,TOR / Lst8,,
raptor,4E-BP1,1,SCH2003,Proposed,heuristic-order-in-AI_Target,mTOR / raptor / 4E-BP1,,
mTOR,mLST8,1,YAN2013,Proposed,heuristic-order-in-AI_Target,mTOR / mLST8,,
KICSTOR,GATOR1,1,WOL2017,Proposed,heuristic-order-in-AI_Target,KICSTOR / GATOR1 / Rag / mTORC1,,
GATOR1,Rag,1,WOL2017,Proposed,heuristic-order-in-AI_Target,KICSTOR / GATOR1 / Rag / mTORC1,,
Akt,MAM,1,BET2013,Proposed,heuristic-order-in-AI_Target,mTORC2 / Akt / MAM,,
TSC1-TSC2-TBC1D7,Rheb,1,DIB2012,Proposed,heuristic-order-in-AI_Target,TSC1-TSC2-TBC1D7 / Rheb / mTORC1,,
mTOR,FLCN,1,LI2026,Proposed,heuristic-order-in-AI_Target,MTOR / FLCN / TSC pathway in renal cell carcinoma,,
FLCN,TSC pathway in renal cell carcinoma,1,LI2026,Proposed,heuristic-order-in-AI_Target,MTOR / FLCN / TSC pathway in renal cell carcinoma,,
GATOR,Rag GTPases,1,BAR2013,Proposed,heuristic-order-in-AI_Target,GATOR / Rag GTPases / mTORC1,,
mTORC1,GATOR1 complex,1,MARCHANT2026,Proposed,heuristic-order-in-AI_Target,mTORC1 / GATOR1 complex,,
RagA,RagC,1,ANA2019,Proposed,heuristic-order-in-AI_Target,RagA/RagC / RAPTOR / mTORC1,,
RagC,raptor,1,ANA2019,Proposed,heuristic-order-in-AI_Target,RagA/RagC / RAPTOR / mTORC1,,
TSC-mTOR,NF-κB,1,WEI2008,Proposed,heuristic-order-in-AI_Target,TSC-mTOR / NF-κB,,
Grb10,growth-factor,1,HSU2011,Proposed,heuristic-order-in-AI_Target,mTORC1 / Grb10 / growth-factor signaling,,
SLC38A9,mTORC1,1,WYA2017,Proposed,heuristic-order-in-AI_Target,SLC38A9 / mTORC1 (arginine),,
mTOR,LAMTOR1,1,MUT2026,Proposed,heuristic-order-in-AI_Target,mTOR / LAMTOR1 (Ragulator),,
mTORC1,PTEN-Akt,1,ZHO2009,Proposed,heuristic-order-in-AI_Target,mTORC1 / PTEN-Akt,,
ULK1,AMBRA1,1,NAZ2013,Proposed,heuristic-order-in-AI_Target,mTOR / ULK1 / AMBRA1 / TRAF6,,
AMBRA1,TRAF6,1,NAZ2013,Proposed,heuristic-order-in-AI_Target,mTOR / ULK1 / AMBRA1 / TRAF6,,
mTORC1,MAPK,1,CAR2008,Proposed,heuristic-order-in-AI_Target,mTORC1 / MAPK / PI3K,,
MAPK,PI3K,1,CAR2008,Proposed,heuristic-order-in-AI_Target,mTORC1 / MAPK / PI3K,,
CASTOR,GATOR2,1,CHA2016,Proposed,heuristic-order-in-AI_Target,CASTOR / GATOR2 / mTORC1 (arginine),,
PI3K,mTORC1,1,DIB2015,Proposed,heuristic-order-in-AI_Target,PI3K / mTORC1,,
TORC1,SKN-1,1,ROB2012,Proposed,heuristic-order-in-AI_Target,TORC1 / SKN-1(Nrf) / DAF-16(FoxO),,
SKN-1,DAF-16,1,ROB2012,Proposed,heuristic-order-in-AI_Target,TORC1 / SKN-1(Nrf) / DAF-16(FoxO),,
S6K1,mTOR,1,SEL2009,Proposed,heuristic-order-in-AI_Target,S6K1 / mTOR,,
mTOR,4E-BP1,1,GIN1999,Proposed,heuristic-order-in-AI_Target,mTOR / 4E-BP1 / eIF4E,,
4E-BP1,eIF4E,1,GIN1999,Proposed,heuristic-order-in-AI_Target,mTOR / 4E-BP1 / eIF4E,,
mTORC1,ATF4,1,BEN2016,Proposed,heuristic-order-in-AI_Target,mTORC1 / ATF4 / mitochondrial folate (THF) cycle,,
ATF4,mitochondrial folate   cycle,1,BEN2016,Proposed,heuristic-order-in-AI_Target,mTORC1 / ATF4 / mitochondrial folate (THF) cycle,,
mTORC1,Akt,1,MEI2008,Proposed,heuristic-order-in-AI_Target,mTORC1 / Akt,,
ULK1,mitophagy,1,SONH2026,Proposed,heuristic-order-in-AI_Target,AMPK / mTOR / ULK1 / mitophagy / ceramide axis,,
mitophagy,ceramide,1,SONH2026,Proposed,heuristic-order-in-AI_Target,AMPK / mTOR / ULK1 / mitophagy / ceramide axis,,
BCAAs,mTORC1,1,BAB2025,Proposed,heuristic-order-in-AI_Target,BCAAs / mTORC1,,
TSC-mTOR,mitochondrial biogenesis,1,CHE2008,Proposed,heuristic-order-in-AI_Target,TSC-mTOR / mitochondrial biogenesis / ROS,,
mitochondrial biogenesis,ROS,1,CHE2008,Proposed,heuristic-order-in-AI_Target,TSC-mTOR / mitochondrial biogenesis / ROS,,
Rag GTPases,TSC2,1,DEM2014,Proposed,heuristic-order-in-AI_Target,TORC1 / Rag GTPases / TSC2,,
Ragulator,Rag,1,SAN2010,Proposed,heuristic-order-in-AI_Target,Ragulator / Rag / mTORC1 / Rheb,,
v-ATPase,Rag-Ragulator,1,ZON2011,Proposed,heuristic-order-in-AI_Target,v-ATPase / Rag-Ragulator / mTORC1,,
mTORC1,raptor,1,ROG2019,Proposed,heuristic-order-in-AI_Target,mTORC1 / Raptor / Rag-Ragulator,,
raptor,Rag-Ragulator,1,ROG2019,Proposed,heuristic-order-in-AI_Target,mTORC1 / Raptor / Rag-Ragulator,,
mTORC2,ribosome,1,ZIN2011,Proposed,heuristic-order-in-AI_Target,mTORC2 / ribosome / Akt,,
ribosome,Akt,1,ZIN2011,Proposed,heuristic-order-in-AI_Target,mTORC2 / ribosome / Akt,,
SZT2,GATOR,1,PEN2017,Proposed,heuristic-order-in-AI_Target,SZT2 / GATOR / Rag / mTORC1,,
mTOR,Tau,1,TAN2024,Proposed,heuristic-order-in-AI_Target,mTOR / Tau (Ser214/Ser356/Thr231),,
p62,Beclin-1,1,VERMA2026,Proposed,heuristic-order-in-AI_Target,LC3B/p62/Beclin-1/mTOR axis,,
Beclin-1,mTOR,1,VERMA2026,Proposed,heuristic-order-in-AI_Target,LC3B/p62/Beclin-1/mTOR axis,,
4E-BP,TOP mRNAs,1,THO2012,Proposed,heuristic-order-in-AI_Target,mTORC1 / 4E-BP / TOP mRNAs,,
AMPK,TSC,1,HOW2017,Proposed,heuristic-order-in-AI_Target,AMPK / TSC / Rag / mTORC1,,
TSC,Rag,1,HOW2017,Proposed,heuristic-order-in-AI_Target,AMPK / TSC / Rag / mTORC1,,
GATOR1,RagA,1,SHE2018,Proposed,heuristic-order-in-AI_Target,GATOR1 (DEPDC5/NPRL2/NPRL3) / RagA / mTORC1,,
RagA,mTORC1,1,SHE2018,Proposed,heuristic-order-in-AI_Target,GATOR1 (DEPDC5/NPRL2/NPRL3) / RagA / mTORC1,,
S6K1,4EBP1-eIF4E,1,FIN2002,Proposed,heuristic-order-in-AI_Target,mTOR / S6K1 / 4EBP1-eIF4E,,
FKBP12,Rapamycin,1,CHO1996,Proposed,heuristic-order-in-AI_Target,FKBP12 / rapamycin / FRAP (FRB domain),,
Rapamycin,FRAP,1,CHO1996,Proposed,heuristic-order-in-AI_Target,FKBP12 / rapamycin / FRAP (FRB domain),,
mTORC1,lipin1,1,PET2011,Proposed,heuristic-order-in-AI_Target,mTORC1 / lipin1 / SREBP,,
lipin1,SREBP,1,PET2011,Proposed,heuristic-order-in-AI_Target,mTORC1 / lipin1 / SREBP,,
mTORC2,SGK1,1,GAR2008,Proposed,heuristic-order-in-AI_Target,mTORC2 / SGK1,,
autophagy,insulin-IGF,1,MEL2003,Proposed,heuristic-order-in-AI_Target,Autophagy / insulin-IGF (daf-2),,
TSC complex,Rheb,1,MEN2014,Proposed,heuristic-order-in-AI_Target,TSC complex / Rheb / mTORC1,,
mTORC1,PPARα,1,SEN2010,Proposed,heuristic-order-in-AI_Target,mTORC1 / PPARα / ketogenesis,,
PPARα,ketogenesis,1,SEN2010,Proposed,heuristic-order-in-AI_Target,mTORC1 / PPARα / ketogenesis,,
PRAS40,Akt,1,VAN2007,Proposed,heuristic-order-in-AI_Target,mTORC1 / PRAS40 / Akt,,
Rheb,PRAS40,1,YAN2017,Proposed,heuristic-order-in-AI_Target,mTORC1 / RHEB / PRAS40,,
FLCN,Rag GTPases,1,PET2013,Proposed,heuristic-order-in-AI_Target,FLCN / Rag GTPases / mTORC1,,
mTOR,PHAS-I,1,BRU1997,Proposed,heuristic-order-in-AI_Target,mTOR / PHAS-I (4E-BP1) / eIF4E,,
PHAS-I,eIF4E,1,BRU1997,Proposed,heuristic-order-in-AI_Target,mTOR / PHAS-I (4E-BP1) / eIF4E,,
TFEB,autophagy-lysosome,1,SET2011,Proposed,heuristic-order-in-AI_Target,TFEB / autophagy-lysosome,,
SH3BP4,Rag GTPase,1,KIM2012,Proposed,heuristic-order-in-AI_Target,SH3BP4 / Rag GTPase / mTORC1,,
Rag GTPase,mTORC1,1,KIM2012,Proposed,heuristic-order-in-AI_Target,SH3BP4 / Rag GTPase / mTORC1,,
SAMTOR,GATOR1,1,GU2017,Proposed,heuristic-order-in-AI_Target,SAMTOR / GATOR1 / mTORC1 (SAM/methionine),,
GATOR1,mTORC1,1,GU2017,Proposed,heuristic-order-in-AI_Target,SAMTOR / GATOR1 / mTORC1 (SAM/methionine),,
mTORC1,ULK1-Atg13-FIP200,1,HOS2009,Proposed,heuristic-order-in-AI_Target,mTORC1 / ULK1-Atg13-FIP200,,
Grb10,insulin,1,YUX2011,Proposed,heuristic-order-in-AI_Target,mTORC1 / Grb10 / insulin signaling,,
TORC1,Gtr1,1,PAN2013,Proposed,heuristic-order-in-AI_Target,TORC1 / Gtr1 (Rag) / SEACIT,,
Gtr1,SEACIT,1,PAN2013,Proposed,heuristic-order-in-AI_Target,TORC1 / Gtr1 (Rag) / SEACIT,,
mTORC1,SREBP,1,POR2008,Proposed,heuristic-order-in-AI_Target,mTORC1 / SREBP / Akt,,
SREBP,Akt,1,POR2008,Proposed,heuristic-order-in-AI_Target,mTORC1 / SREBP / Akt,,
