rank,mentions,n_studies,suggested_name,suggested_slug,hgnc_id,raw_variants,stripped,flags,fields,example_studies,DECISION,CANONICAL_NAME,TYPE,MERGE_INTO,NOTE
34,4,4,GATOR1,gator1,,GATOR1,,,"ai_intervention, ai_target","BAR2013, GU2017, SHE2018, WOL2017",,,,,
35,3,3,Akt Ser473,akt-ser473,,Akt Ser473,,,ai_target,"GAN2011, JAC2006, SAR2005",,,,,
36,3,3,nutrient-sensing,nutrient-sensing,,Nutrient-sensing | nutrient-sensing inhibition,inhibition,,"ai_intervention, ai_target","FON2010, MAT2017, ROM2016",,,,,
37,3,3,p70 S6 kinase,p70-s6-kinase,,p70 S6 kinase,,,ai_target,"CHU1992, KUO1992, PRI1992",,,,,
38,3,3,p70 S6K,p70-s6k,,p70 S6K,,,ai_target,"BUR1998, HAR1998, NOJ2003",,,,,
39,3,3,GATOR,gator,,GATOR,,,ai_target,"BAR2013, PAR2014, PEN2017",,,,,
40,3,3,Caloric restriction,caloric-restriction,,Caloric restriction | caloric restriction,,,ai_intervention,"KAE2005, MAT2017, ROM2016",,,,,
41,3,3,Sirolimus,sirolimus,,Sirolimus,,,ai_intervention,"BIS2008, KAH2000, MCC2011",,,,,

"--- ODLOŽENO: pod prahem 3 studií, stránku vyrobit nemůže, rozhodovat se nemusí ---"
1,4,2,Sestrins,sestrins,,Sestrins,,defer,"ai_intervention, ai_target",,defer,,,,
2,4,2,ULK1-Atg13-FIP200,ulk1-atg13-fip200,,ULK1-ATG13-FIP200 | ULK1-Atg13-FIP200,,defer,"ai_intervention, ai_target",,defer,,,,
3,3,2,Sestrin2,sestrin2,,Sestrin2,,defer,"ai_intervention, ai_target",,defer,,,,
4,3,2,TSC complex,tsc-complex,,TSC complex,,defer,"ai_intervention, ai_target",,defer,,,,
5,3,2,amyloid-β,amyloid-beta,,amyloid-β,,defer,"ai_intervention, ai_target",,defer,,,,
6,3,2,CASTOR1,castor1,,CASTOR1,,defer,"ai_intervention, ai_target",,defer,,,,
7,3,2,GSK3,gsk3,,GSK3,,defer,"ai_intervention, ai_target",,defer,,,,
8,3,2,KICSTOR,kicstor,,KICSTOR,,defer,"ai_intervention, ai_target",,defer,,,,
9,3,2,SREBP,srebp,,SREBP,,defer,"ai_intervention, ai_target",,defer,,,,
10,2,2,mLST8,mlst8,,mLST8,,defer,"ai_intervention, ai_target",,defer,,,,
11,2,2,MAPK,mapk,,MAPK,,defer,ai_target,,defer,,,,
12,2,1,GH,gh,,GH,,defer,"ai_intervention, ai_target",,defer,,,,
13,2,2,IGF-1,igf-1,,IGF-1 | IGF-1 axis,,defer,"ai_intervention, ai_target",,defer,,,,
14,2,2,ribosome profiling,ribosome-profiling,,Ribosome profiling | ribosome profiling,,defer,ai_intervention,,defer,,,,
15,2,2,FKBP,fkbp,,FKBP,,defer,ai_target,,defer,,,,
16,2,1,Rac1,rac1,,Rac1,,defer,"ai_intervention, ai_target",,defer,,,,
17,2,2,Metformin,metformin,,Metformin,,defer,ai_intervention,,defer,,,,
18,2,2,RAFT1,raft1,,RAFT1,,defer,ai_target,,defer,,,,
19,2,2,LC3B,lc3b,,LC3B,,defer,ai_target,,defer,,,,
20,2,2,p62,p62,,p62,,defer,ai_target,,defer,,,,
21,2,2,Testosterone propionate,testosterone-propionate,,Testosterone propionate,,defer,ai_intervention,,defer,,,,
22,2,2,RTK,rtk,,RTK,,defer,ai_target,,defer,,,,
23,2,2,FLCN–FNIP2,flcn-fnip2,,FLCN-FNIP2 | FLCN–FNIP2,,defer,ai_target,,defer,,,,
24,2,2,RagC,ragc,,RagC,,defer,ai_target,,defer,,,,
25,2,2,Nutrient,nutrient,,Nutrient,,defer,ai_target,,defer,,,,
26,2,2,aging pathways,aging-pathways,,aging pathways,,defer,ai_target,,defer,,,,
27,2,2,Resveratrol,resveratrol,,Resveratrol,,defer,ai_intervention,,defer,,,,
28,2,1,PDCD4,pdcd4,,PDCD4,,defer,"ai_intervention, ai_target",,defer,,,,
29,2,2,eIF4A,eif4a,,eIF4A,,defer,ai_target,,defer,,,,
30,2,2,actin cytoskeleton,actin-cytoskeleton,,actin cytoskeleton,,defer,ai_target,,defer,,,,
31,2,1,mSin1,msin1,,mSin1,,defer,"ai_intervention, ai_target",,defer,,,,
32,2,2,CAD,cad,,CAD,,defer,ai_target,,defer,,,,
33,2,2,Tau,tau,,Tau,,defer,ai_target,,defer,,,,
34,2,2,4EBP1,4ebp1,,4EBP1,,defer,"ai_intervention, ai_target",,defer,,,,
35,2,2,S6K,s6k,,S6K,,defer,ai_target,,defer,,,,
36,2,1,4EBP-eIF4E,4ebp-eif4e,,4EBP-eIF4E,,defer,"ai_intervention, ai_target",,defer,,,,
37,2,2,mitochondria,mitochondria,,mitochondria,,defer,ai_target,,defer,,,,
38,2,1,Slc7a5,slc7a5,,Slc7a5,,defer,"ai_intervention, ai_target",,defer,,,,
39,2,2,leucine,leucine,,leucine,,defer,ai_target,,defer,,,,
40,2,2,Sch9,sch9,,Sch9,,defer,ai_target,,defer,,,,
41,2,2,PIP3,pip3,,PIP3,,defer,ai_target,,defer,,,,
42,2,2,TOS motif,tos-motif,,TOS motif,,defer,ai_intervention,,defer,,,,
43,2,2,X-ray crystallography,x-ray-crystallography,,X-ray crystallography,,defer,ai_intervention,,defer,,,,
44,2,2,RagA,raga,,RagA,,defer,ai_target,,defer,,,,
45,2,2,TSC-mTOR,tsc-mtor,,TSC-mTOR,,defer,ai_target,,defer,,,,
46,2,2,Grb10,grb10,,Grb10,,defer,ai_target,,defer,,,,
47,2,2,Phosphoproteomics,phosphoproteomics,,Phosphoproteomics,,defer,ai_intervention,,defer,,,,
48,2,1,AMBRA1,ambra1,,AMBRA1,,defer,"ai_intervention, ai_target",,defer,,,,
49,2,1,TRAF6,traf6,,TRAF6,,defer,"ai_intervention, ai_target",,defer,,,,
50,2,2,eIF4E,eif4e,,eIF4E,,defer,ai_target,,defer,,,,
51,2,2,mitophagy,mitophagy,,mitophagy,,defer,ai_target,,defer,,,,
52,2,1,v-ATPase,v-atpase,,v-ATPase,,defer,"ai_intervention, ai_target",,defer,,,,
53,2,1,ribosome,ribosome,,ribosome,,defer,"ai_intervention, ai_target",,defer,,,,
54,2,1,SZT2,szt2,,SZT2,,defer,"ai_intervention, ai_target",,defer,,,,
55,2,1,lipin1,lipin1,,lipin1,,defer,"ai_intervention, ai_target",,defer,,,,
56,2,1,SGK1,sgk1,,SGK1,,defer,"ai_intervention, ai_target",,defer,,,,
57,2,1,Myc,myc,,Myc,,defer,"ai_intervention, ai_target",,defer,,,,
58,2,1,PHAS-I,phas-i,,PHAS-I,,defer,"ai_intervention, ai_target",,defer,,,,
59,2,1,SH3BP4,sh3bp4,,SH3BP4,,defer,"ai_intervention, ai_target",,defer,,,,
60,2,1,SAMTOR,samtor,,SAMTOR,,defer,"ai_intervention, ai_target",,defer,,,,
61,2,1,SEACIT,seacit,,SEACIT,,defer,"ai_intervention, ai_target",,defer,,,,
62,2,1,REDD1,redd1,,REDD1,,defer,"ai_intervention, ai_target",,defer,,,,
63,2,1,Leucyl-tRNA synthetase,leucyl-trna-synthetase,,Leucyl-tRNA synthetase | leucyl-tRNA synthetase,,defer,"ai_intervention, ai_target",,defer,,,,
64,2,1,DEPTOR,deptor,,DEPTOR,,defer,"ai_intervention, ai_target",,defer,,,,
65,1,1,Various cellular stresses   – mechanistic,various-cellular-stresses-mechanistic,,Various cellular stresses   – mechanistic,,defer:singleton,ai_intervention,,defer,,,,
66,1,1,TSC2 GAP activity toward Rheb,tsc2-gap-activity-toward-rheb,,TSC2 GAP activity toward Rheb,,defer:singleton,ai_intervention,,defer,,,,
67,1,1,Akt phosphorylation of TSC2,akt-phosphorylation-of-tsc2,,Akt phosphorylation of TSC2,,defer:singleton,ai_intervention,,defer,,,,
68,1,1,ULK1–AMPK,ulk1-ampk,,ULK1–AMPK,,defer:singleton,ai_intervention,,defer,,,,
69,1,1,GβL,gbetal,,GβL,,defer:singleton,ai_target,,defer,,,,
70,1,1,Notoginsenoside R1,notoginsenoside-r1,,Notoginsenoside R1,,defer:singleton,ai_intervention,,defer,,,,
71,1,1,AMPK phosphorylation of raptor,ampk-phosphorylation-of-raptor,,AMPK phosphorylation of raptor,,defer:singleton,ai_intervention,,defer,,,,
72,1,1,prolactin,prolactin,,prolactin,,defer:singleton,ai_intervention,,defer,,,,
73,1,1,TSH deficiency,tsh-deficiency,,TSH deficiency,,defer:singleton,ai_intervention,,defer,,,,
74,1,1,4E-BP–eIF4E translation,4e-bp-eif4e-translation,,4E-BP–eIF4E translation,,defer:singleton,ai_target,,defer,,,,
75,1,1,Oncogenic mTOR modulation,oncogenic-mtor-modulation,,Oncogenic mTOR modulation,,defer:singleton,ai_intervention,,defer,,,,
76,1,1,Genetically encoded BRET biosensor   -- tool,genetically-encoded-bret-biosensor-tool,,Genetically encoded BRET biosensor   -- tool,,defer:singleton,ai_intervention,,defer,,,,
77,1,1,not a drug intervention,not-a-drug-intervention,,not a drug intervention,,defer:singleton,ai_intervention,,defer,,,,
78,1,1,MIP1,mip1,,MIP1,,defer:singleton,ai_intervention,,defer,,,,
79,1,1,S6K translation,s6k-translation,,S6K translation machinery,,defer:singleton,ai_target,,defer,,,,
80,1,1,GADD45alpha,gadd45alpha,,GADD45alpha,,defer:singleton,ai_target,,defer,,,,
81,1,1,Astragaloside IV,astragaloside-iv,,Astragaloside IV,,defer:singleton,ai_intervention,,defer,,,,
82,1,1,Nutrient-sensing pathways,nutrient-sensing-pathways,,Nutrient-sensing pathways,,defer:singleton,ai_target,,defer,,,,
83,1,1,review – dietary restriction,review-dietary-restriction,,review – dietary restriction,,defer:singleton,ai_intervention,,defer,,,,
84,1,1,Wnt1 overexpression,wnt1-overexpression,,Wnt1 overexpression,,defer:singleton,ai_intervention,,defer,,,,
85,1,1,rapamycin rescue,rapamycin-rescue,,rapamycin rescue,,defer:singleton,ai_intervention,,defer,,,,
86,1,1,Gambogic acid,gambogic-acid,,Gambogic acid,,defer:singleton,ai_intervention,,defer,,,,
87,1,1,SLC36A1,slc36a1,,SLC36A1,,defer:singleton,ai_target,,defer,,,,
88,1,1,lysosomal amino acid efflux,lysosomal-amino-acid-efflux,,lysosomal amino acid efflux,,defer:singleton,ai_target,,defer,,,,
89,1,1,cryo-EM of SLC36A1,cryo-em-of-slc36a1,,cryo-EM of SLC36A1,,defer:singleton,ai_intervention,,defer,,,,
90,1,1,PAT1,pat1,,PAT1,,defer:singleton,ai_intervention,,defer,,,,
91,1,1,apo,apo,,apo,,defer:singleton,ai_intervention,,defer,,,,
92,1,1,3 substrate-bound states,3-substrate-bound-states,,3 substrate-bound states,,defer:singleton,ai_intervention,,defer,,,,
93,1,1,Rapamycin – alternative,rapamycin-alternative,,Rapamycin – alternative,,defer:singleton,ai_intervention,,defer,,,,
94,1,1,intermittent dosing regimens,intermittent-dosing-regimens,,intermittent dosing regimens,,defer:singleton,ai_intervention,,defer,,,,
95,1,1,Genetic – constitutively active RagA  knock-in,genetic-constitutively-active-raga-knock-in,,Genetic – constitutively active RagA  knock-in,,defer:singleton,ai_intervention,,defer,,,,
96,1,1,low dose,low-dose,,low dose,,defer:singleton,ai_intervention,,defer,,,,
97,1,1,Genetic mTOR-driven mouse model,genetic-mtor-driven-mouse-model,,Genetic mTOR-driven mouse model,,defer:singleton,ai_intervention,,defer,,,,
98,1,1,[177Lu]Lu-edotreotide,177lu-lu-edotreotide,,[177Lu]Lu-edotreotide,,defer:singleton,ai_intervention,,defer,,,,
99,1,1,and rictor KO,and-rictor-ko,,and rictor KO,,defer:singleton,ai_intervention,,defer,,,,
100,1,1,FKBP12-rapamycin affinity purification,fkbp12-rapamycin-affinity-purification,,FKBP12-rapamycin affinity purification,,defer:singleton,ai_intervention,,defer,,,,
101,1,1,Genetic – S6K1 knockout,genetic-s6k1-knockout,,Genetic – S6K1 knockout,,defer:singleton,ai_intervention,,defer,,,,
102,1,1,ATP-competitive mTOR active-site inhibitors,atp-competitive-mtor-active-site-inhibitors,,ATP-competitive mTOR active-site inhibitors,,defer:singleton,ai_intervention,,defer,,,,
103,1,1,eIF3,eif3,,eIF3,,defer:singleton,ai_target,,defer,,,,
104,1,1,AMPK–ULK1,ampk-ulk1,,AMPK–ULK1,,defer:singleton,ai_intervention,,defer,,,,
105,1,1,Beclin-1 autophagy,beclin-1-autophagy,,Beclin-1 autophagy axis,,defer:singleton,ai_target,,defer,,,,
106,1,1,PtdIns P3,ptdins-p3,,PtdIns P3,,defer:singleton,ai_target,,defer,,,,
107,1,1,SIN1 PH domain,sin1-ph-domain,,SIN1 PH domain,,defer:singleton,ai_intervention,,defer,,,,
108,1,1,RTB101,rtb101,,RTB101,,defer:singleton,ai_intervention,,defer,,,,
109,1,1,oral mTOR inhibitor,oral-mtor-inhibitor,,oral mTOR inhibitor,,defer:singleton,ai_intervention,,defer,,,,
110,1,1,± everolimus,everolimus,,± everolimus,,defer:singleton,ai_intervention,,defer,,,,
111,1,1,Partial mTORC1,partial-mtorc1,,Partial mTORC1 inhibition,,defer:singleton,ai_intervention,,defer,,,,
112,1,1,nutrient reduction,nutrient-reduction,,nutrient reduction,,defer:singleton,ai_intervention,,defer,,,,
113,1,1,cell-cycle synchronization,cell-cycle-synchronization,,cell-cycle synchronization,,defer:singleton,ai_intervention,,defer,,,,
114,1,1,IRS-1,irs-1,,IRS-1,,defer:singleton,ai_target,,defer,,,,
115,1,1,FLCN complex,flcn-complex,,FLCN complex,,defer:singleton,ai_intervention,,defer,,,,
116,1,1,Dietary – 25 diets varying protein:carb:fat,dietary-25-diets-varying-protein-carb-fat,,Dietary – 25 diets varying protein:carb:fat,,defer:singleton,ai_intervention,,defer,,,,
117,1,1,ad libitum,ad-libitum,,ad libitum,,defer:singleton,ai_intervention,,defer,,,,
118,1,1,PP242,pp242,,PP242,,defer:singleton,ai_intervention,,defer,,,,
119,1,1,in vitro kinase assay,in-vitro-kinase-assay,,in vitro kinase assay,,defer:singleton,ai_intervention,,defer,,,,
120,1,1,historical review,historical-review,,historical review,,defer:singleton,ai_intervention,,defer,,,,
121,1,1,green tea extract,green-tea-extract,,green tea extract,,defer:singleton,ai_intervention,,defer,,,,
122,1,1,curcumin,curcumin,,curcumin,,defer:singleton,ai_intervention,,defer,,,,
123,1,1,oxaloacetic acid,oxaloacetic-acid,,oxaloacetic acid,,defer:singleton,ai_intervention,,defer,,,,
124,1,1,MCT oil,mct-oil,,MCT oil,,defer:singleton,ai_intervention,,defer,,,,
125,1,1,βTRCP,betatrcp,,βTRCP,,defer:singleton,ai_intervention,,defer,,,,
126,1,1,Metabolic,metabolic,,Metabolic,,defer:singleton,ai_target,,defer,,,,
127,1,1,Acarbose,acarbose,,Acarbose,,defer:singleton,ai_intervention,,defer,,,,
128,1,1,17-α-estradiol,17-alpha-estradiol,,17-α-estradiol,,defer:singleton,ai_intervention,,defer,,,,
129,1,1,NDGA,ndga,,NDGA,,defer:singleton,ai_intervention,,defer,,,,
130,1,1,methylene blue,methylene-blue,,methylene blue,,defer:singleton,ai_intervention,,defer,,,,
131,1,1,Low-dose mTOR inhibitor,low-dose-mtor-inhibitor,,Low-dose mTOR inhibitor,,defer:singleton,ai_intervention,,defer,,,,
132,1,1,6 weeks,6-weeks,,6 weeks,,defer:singleton,ai_intervention,,defer,,,,
133,1,1,mTOR-JAK,mtor-jak,,mTOR-JAK,,defer:singleton,ai_target,,defer,,,,
134,1,1,STAT,stat,,STAT axis,,defer:singleton,ai_target,,defer,,,,
135,1,1,mTOR inhibitors,mtor-inhibitors,,mTOR inhibitors,,defer:singleton,ai_intervention,,defer,,,,
136,1,1,IL1A,il1a,,IL1A,,defer:singleton,ai_target,,defer,,,,
137,1,1,SASP,sasp,,SASP,,defer:singleton,ai_target,,defer,,,,
138,1,1,Lamtor5,lamtor5,,Lamtor5,,defer:singleton,ai_target,,defer,,,,
139,1,1,mTORC1 Ragulator complex,mtorc1-ragulator-complex,,mTORC1 Ragulator complex,,defer:singleton,ai_target,,defer,,,,
140,1,1,cGAS-STING,cgas-sting,,cGAS-STING,,defer:singleton,ai_target,,defer,,,,
141,1,1,Lamtor5 overexpression,lamtor5-overexpression,,Lamtor5 overexpression,,defer:singleton,ai_intervention,,defer,,,,
142,1,1,restoration,restoration,,restoration,,defer:singleton,ai_intervention,,defer,,,,
143,1,1,TORC2 substrates,torc2-substrates,,TORC2 substrates,,defer:singleton,ai_target,,defer,,,,
144,1,1,C. elegans RNAi,c-elegans-rnai,,C. elegans RNAi,,defer:singleton,ai_intervention,,defer,,,,
145,1,1,mTORC1 in Treg cells,mtorc1-in-treg-cells,,mTORC1 in Treg cells,,defer:singleton,ai_intervention,,defer,,,,
146,1,1,ATP-competitive mTOR kinase inhibitors,atp-competitive-mtor-kinase-inhibitors,,ATP-competitive mTOR kinase inhibitors,,defer:singleton,ai_intervention,,defer,,,,
147,1,1,nucleotide synthesis,nucleotide-synthesis,,nucleotide synthesis,,defer:singleton,ai_target,,defer,,,,
148,1,1,TSC loss,tsc-loss,,TSC loss,,defer:singleton,ai_intervention,,defer,,,,
149,1,1,RMC-6272,rmc-6272,,RMC-6272,,defer:singleton,ai_intervention,,defer,,,,
150,1,1,Genetic – adipose-specific raptor knockout,genetic-adipose-specific-raptor-knockout,,Genetic – adipose-specific raptor knockout,,defer:singleton,ai_intervention,,defer,,,,
151,1,1,Akt-FOXO,akt-foxo,,Akt-FOXO,,defer:singleton,ai_target,,defer,,,,
152,1,1,PKCα,pkcalpha,,PKCα,,defer:singleton,ai_target,,defer,,,,
153,1,1,mLST8 knockout mice,mlst8-knockout-mice,,mLST8 knockout mice,,defer:singleton,ai_intervention,,defer,,,,
154,1,1,rpS6,rps6,,rpS6,,defer:singleton,ai_intervention,,defer,,,,
155,1,1,IMP dehydrogenase,imp-dehydrogenase,,IMP dehydrogenase,,defer:singleton,ai_target,,defer,,,,
156,1,1,purine biosynthesis,purine-biosynthesis,,purine biosynthesis,,defer:singleton,ai_target,,defer,,,,
157,1,1,Low-dose rapamycin,low-dose-rapamycin,,Low-dose rapamycin,,defer:singleton,ai_intervention,,defer,,,,
158,1,1,mTOR-S6K-4EBP,mtor-s6k-4ebp,,mTOR-S6K-4EBP,,defer:singleton,ai_target,,defer,,,,
159,1,1,T-cell receptor,t-cell-receptor,,T-cell receptor,,defer:singleton,ai_intervention,,defer,,,,
160,1,1,Rheb screen,rheb-screen,,Rheb screen,,defer:singleton,ai_intervention,,defer,,,,
161,1,1,Topical rapamycin,topical-rapamycin,,Topical rapamycin,,defer:singleton,ai_intervention,,defer,,,,
162,1,1,RMC-5552,rmc-5552,,RMC-5552,,defer:singleton,ai_intervention,,defer,,,,
163,1,1,1.6-16mg IV weekly,1-6-16mg-iv-weekly,,1.6-16mg IV weekly,,defer:singleton,ai_intervention,,defer,,,,
164,1,1,New-generation bivalent mTOR inhibitor,new-generation-bivalent-mtor-inhibitor,,New-generation bivalent mTOR inhibitor,,defer:singleton,ai_intervention,,defer,,,,
165,1,1,RagC-RagD,ragc-ragd,,RagC-RagD,,defer:singleton,ai_target,,defer,,,,
166,1,1,arginine,arginine,,arginine,,defer:singleton,ai_target,,defer,,,,
167,1,1,crystal structure of SLC38A9,crystal-structure-of-slc38a9,,crystal structure of SLC38A9,,defer:singleton,ai_intervention,,defer,,,,
168,1,1,exemestane,exemestane,,exemestane,,defer:singleton,ai_intervention,,defer,,,,
169,1,1,crystal structure of Sestrin2-leucine,crystal-structure-of-sestrin2-leucine,,crystal structure of Sestrin2-leucine,,defer:singleton,ai_intervention,,defer,,,,
170,1,1,mTORC2 deletion,mtorc2-deletion,,mTORC2 deletion,,defer:singleton,ai_intervention,,defer,,,,
171,1,1,Pten loss,pten-loss,,Pten loss,,defer:singleton,ai_intervention,,defer,,,,
172,1,1,YY1,yy1,,YY1,,defer:singleton,ai_target,,defer,,,,
173,1,1,PGC-1α,pgc-1alpha,,PGC-1α,,defer:singleton,ai_target,,defer,,,,
174,1,1,autophagic lysosome reformation,autophagic-lysosome-reformation,,autophagic lysosome reformation,,defer:singleton,ai_target,,defer,,,,
175,1,1,mTOR reactivation,mtor-reactivation,,mTOR reactivation,,defer:singleton,ai_intervention,,defer,,,,
176,1,1,HIF-1,hif-1,,HIF-1,,defer:singleton,ai_target,,defer,,,,
177,1,1,Glucosamine,glucosamine,,Glucosamine,,defer:singleton,ai_intervention,,defer,,,,
178,1,1,redox stress,redox-stress,,redox stress,,defer:singleton,ai_intervention,,defer,,,,
179,1,1,Lst8,lst8,,Lst8,,defer:singleton,ai_target,,defer,,,,
180,1,1,conserved aging pathways,conserved-aging-pathways,,conserved aging pathways,,defer:singleton,ai_target,,defer,,,,
181,1,1,mTOR pathway interventions,mtor-pathway-interventions,,mTOR pathway interventions,,defer:singleton,ai_intervention,,defer,,,,
182,1,1,TOR1,tor1,,TOR1,,defer:singleton,ai_intervention,,defer,,,,
183,1,1,TOR2 complexes,tor2-complexes,,TOR2 complexes,,defer:singleton,ai_intervention,,defer,,,,
184,1,1,Ku-0063794,ku-0063794,,Ku-0063794,,defer:singleton,ai_intervention,,defer,,,,
185,1,1,Antifungal principle,antifungal-principle,,Antifungal principle,,defer:singleton,ai_target,,defer,,,,
186,1,1,MAM,mam,,MAM,,defer:singleton,ai_target,,defer,,,,
187,1,1,TSC1-TSC2-TBC1D7,tsc1-tsc2-tbc1d7,,TSC1-TSC2-TBC1D7,,defer:singleton,ai_target,,defer,,,,
188,1,1,TBC1D7,tbc1d7,,TBC1D7,,defer:singleton,ai_intervention,,defer,,,,
189,1,1,Torin1,torin1,,Torin1,,defer:singleton,ai_intervention,,defer,,,,
190,1,1,TSC pathway in renal cell carcinoma,tsc-pathway-in-renal-cell-carcinoma,,TSC pathway in renal cell carcinoma,,defer:singleton,ai_target,,defer,,,,
191,1,1,GPR143 immunohistochemistry,gpr143-immunohistochemistry,,GPR143 immunohistochemistry,,defer:singleton,ai_intervention,,defer,,,,
192,1,1,GATOR1 complex,gator1-complex,,GATOR1 complex,,defer:singleton,ai_target,,defer,,,,
193,1,1,Constitutive mTORC1,constitutive-mtorc1,,Constitutive mTORC1 activation,,defer:singleton,ai_intervention,,defer,,,,
194,1,1,pazopanib,pazopanib,,pazopanib,,defer:singleton,ai_intervention,,defer,,,,
195,1,1,NF-κB,nf-kappab,,NF-κB,,defer:singleton,ai_target,,defer,,,,
196,1,1,mTOR hypomorph,mtor-hypomorph,,mTOR hypomorph,,defer:singleton,ai_intervention,,defer,,,,
